CREATED_DATE,SOLICITUD_ID,GESTION_TYPE,PRODUCT TYPE(TC OR PR),DELIQUENCY,CYCLE,COUNTRY
2022-01-03,SOL-0001000,COBRO,TC,0,1,HND
2022-01-03,SOL-0001001,COBRO,PR,3,5,HND
2022-01-03,SOL-0001002,PAGO_PARCIAL,TC,0,1,HND
2022-01-03,SOL-0001003,PAGO_PARCIAL,TC,1,3,HND
2022-01-03,SOL-0001004,COBRO,TC,3,4,HND
2022-01-03,SOL-0001005,COBRO,PR,3,2,HND
2022-01-03,SOL-0001006,COBRO,PR,2,1,HND
2022-01-03,SOL-0001007,ACUERDO_PAGO,PR,3,4,HND
2022-01-03,SOL-0001008,PAGO_PARCIAL,TC,6,2,HND
2022-01-03,SOL-0001009,PAGO_PARCIAL,PR,3,5,HND
2022-01-03,SOL-0001010,COBRO,PR,0,1,HND
2022-01-03,SOL-0001011,COBRO,TC,1,1,HND
2022-01-03,SOL-0001012,COBRO,TC,2,2,HND
2022-01-03,SOL-0001013,PAGO_PARCIAL,TC,5,3,HND
2022-01-03,SOL-0001014,COBRO,TC,4,1,HND
2022-01-03,SOL-0001015,ACUERDO_PAGO,PR,3,3,HND
2022-01-03,SOL-0001016,COBRO,PR,4,1,HND
2022-01-03,SOL-0001017,ACTUALIZACION_DATOS,TC,1,1,HND
2022-01-03,SOL-0001018,REFINANCIAMIENTO,PR,1,3,HND
2022-01-03,SOL-0001019,COBRO,PR,2,1,HND
2022-01-03,SOL-0001020,RECLAMO,TC,1,3,HND
2022-01-03,SOL-0001021,PAGO_PARCIAL,TC,1,6,HND
2022-01-03,SOL-0001022,PAGO_PARCIAL,TC,0,1,HND
2022-01-03,SOL-0001023,REFINANCIAMIENTO,PR,2,1,HND
2022-01-03,SOL-0001024,RECLAMO,PR,2,6,HND
2022-01-03,SOL-0001025,PAGO_PARCIAL,TC,4,3,HND
2022-01-03,SOL-0001026,REFINANCIAMIENTO,TC,3,1,HND
2022-01-03,SOL-0001027,COBRO,TC,6,5,HND
2022-01-03,SOL-0001028,RECLAMO,TC,1,5,HND
2022-01-03,SOL-0001029,COBRO,TC,3,3,HND
2022-01-03,SOL-0001030,PAGO_PARCIAL,PR,3,4,HND
2022-01-03,SOL-0001031,CANCELACION,TC,1,1,HND
2022-01-03,SOL-0001032,COBRO,PR,4,2,HND
2022-01-03,SOL-0001033,PAGO_PARCIAL,PR,6,1,HND
2022-01-03,SOL-0001034,COBRO,TC,4,4,HND
2022-01-03,SOL-0001035,RECLAMO,TC,3,1,HND
2022-01-03,SOL-0001036,ACUERDO_PAGO,TC,1,3,HND
2022-01-03,SOL-0001037,PAGO_PARCIAL,TC,1,6,HND
2022-01-03,SOL-0001038,COBRO,TC,2,1,HND
2022-01-03,SOL-0001039,COBRO,TC,3,1,HND
2022-01-03,SOL-0001040,CANCELACION,TC,3,1,HND
2022-01-03,SOL-0001041,PAGO_PARCIAL,PR,0,1,HND
2022-01-03,SOL-0001042,PAGO_PARCIAL,TC,0,5,HND
2022-01-03,SOL-0001043,COBRO,TC,4,4,HND
2022-01-03,SOL-0001044,REFINANCIAMIENTO,TC,2,2,HND
2022-01-03,SOL-0001045,COBRO,PR,3,6,HND
2022-01-03,SOL-0001046,COBRO,TC,2,5,HND
2022-01-03,SOL-0001047,COBRO,TC,2,2,HND
2022-01-03,SOL-0001048,RECLAMO,TC,5,2,HND
2022-01-03,SOL-0001049,ACUERDO_PAGO,TC,0,6,HND
2022-01-03,SOL-0001050,COBRO,PR,5,5,HND
2022-01-03,SOL-0001051,COBRO,TC,1,2,HND
2022-01-03,SOL-0001052,ACUERDO_PAGO,TC,6,1,HND
2022-01-03,SOL-0001053,ACTUALIZACION_DATOS,TC,2,6,HND
2022-01-03,SOL-0001054,COBRO,TC,4,1,HND
2022-01-03,SOL-0001055,ACUERDO_PAGO,PR,3,3,HND
2022-01-03,SOL-0001056,RECLAMO,TC,3,2,HND
2022-01-03,SOL-0001057,COBRO,TC,6,1,HND
2022-01-03,SOL-0001058,COBRO,TC,3,1,HND
2022-01-03,SOL-0001059,PAGO_PARCIAL,PR,1,3,HND
2022-01-03,SOL-0001060,CANCELACION,TC,3,3,HND
2022-01-03,SOL-0001061,REFINANCIAMIENTO,TC,4,1,HND
2022-01-03,SOL-0001062,ACUERDO_PAGO,PR,1,2,HND
2022-01-03,SOL-0001063,ACTUALIZACION_DATOS,TC,2,6,HND
2022-01-03,SOL-0001064,CANCELACION,TC,1,1,HND
2022-01-03,SOL-0001065,COBRO,PR,5,2,HND
2022-01-03,SOL-0001066,ACTUALIZACION_DATOS,PR,3,3,HND
2022-01-03,SOL-0001067,COBRO,PR,0,4,HND
2022-01-03,SOL-0001068,COBRO,PR,5,1,HND
2022-01-03,SOL-0001069,PAGO_PARCIAL,TC,3,1,HND
2022-01-03,SOL-0001070,COBRO,PR,1,3,HND
2022-01-03,SOL-0001071,COBRO,TC,5,5,HND
2022-01-03,SOL-0001072,ACUERDO_PAGO,TC,1,1,HND
2022-01-03,SOL-0001073,PAGO_PARCIAL,TC,1,4,HND
2022-01-03,SOL-0001074,RECLAMO,TC,0,1,HND
2022-01-03,SOL-0001075,PAGO_PARCIAL,PR,3,4,HND
2022-01-03,SOL-0001076,RECLAMO,TC,0,2,HND
2022-01-03,SOL-0001077,COBRO,PR,5,5,HND
2022-01-03,SOL-0001078,RECLAMO,TC,0,4,HND
2022-01-03,SOL-0001079,CANCELACION,TC,3,1,HND
2022-01-03,SOL-0001080,RECLAMO,PR,6,4,HND
2022-01-03,SOL-0001081,CANCELACION,TC,4,2,HND
2022-01-03,SOL-0001082,COBRO,PR,5,4,HND
2022-01-03,SOL-0001083,RECLAMO,PR,0,5,HND
2022-01-03,SOL-0001084,COBRO,TC,4,2,HND
2022-01-03,SOL-0001085,COBRO,PR,1,1,HND
2022-01-03,SOL-0001086,COBRO,TC,5,6,HND
2022-01-03,SOL-0001087,PAGO_PARCIAL,TC,2,6,HND
2022-01-03,SOL-0001088,COBRO,PR,0,6,HND
2022-01-03,SOL-0001089,REFINANCIAMIENTO,PR,1,1,HND
2022-01-03,SOL-0001090,PAGO_PARCIAL,PR,1,3,HND
2022-01-03,SOL-0001091,ACUERDO_PAGO,TC,3,1,HND
2022-01-03,SOL-0001092,ACUERDO_PAGO,TC,5,3,HND
2022-01-03,SOL-0001093,COBRO,PR,3,2,HND
2022-01-03,SOL-0001094,ACUERDO_PAGO,PR,2,2,HND
2022-01-03,SOL-0001095,REFINANCIAMIENTO,PR,1,2,HND
2022-01-03,SOL-0001096,REFINANCIAMIENTO,TC,1,1,HND
2022-01-03,SOL-0001097,PAGO_PARCIAL,PR,3,5,HND
2022-01-03,SOL-0001098,COBRO,TC,3,1,HND
2022-01-03,SOL-0001099,REFINANCIAMIENTO,TC,3,3,HND
2022-01-03,SOL-0001100,CANCELACION,TC,1,2,HND
2022-01-03,SOL-0001101,PAGO_PARCIAL,PR,1,1,HND
2022-01-03,SOL-0001102,ACUERDO_PAGO,TC,2,4,HND
2022-01-03,SOL-0001103,COBRO,PR,1,1,HND
2022-01-03,SOL-0001104,COBRO,TC,2,5,HND
2022-01-03,SOL-0001105,ACUERDO_PAGO,TC,3,1,HND
2022-01-03,SOL-0001106,COBRO,TC,1,3,HND
2022-01-03,SOL-0001107,REFINANCIAMIENTO,PR,4,1,HND
2022-01-03,SOL-0001108,COBRO,TC,6,2,HND
2022-01-03,SOL-0001109,ACUERDO_PAGO,TC,4,2,HND
2022-01-03,SOL-0001110,ACTUALIZACION_DATOS,PR,6,3,HND
2022-01-03,SOL-0001111,PAGO_PARCIAL,PR,3,4,HND
2022-01-03,SOL-0001112,ACUERDO_PAGO,PR,3,5,HND
2022-01-03,SOL-0001113,PAGO_PARCIAL,TC,1,1,HND
2022-01-03,SOL-0001114,COBRO,PR,2,3,HND
2022-01-03,SOL-0001115,COBRO,TC,1,1,HND
2022-01-03,SOL-0001116,ACUERDO_PAGO,TC,0,1,HND
2022-01-03,SOL-0001117,PAGO_PARCIAL,PR,0,2,HND
2022-01-03,SOL-0001118,CANCELACION,TC,1,2,HND
2022-01-03,SOL-0001119,ACUERDO_PAGO,TC,3,5,HND
2022-01-03,SOL-0001120,ACUERDO_PAGO,TC,0,2,HND
2022-01-03,SOL-0001121,ACUERDO_PAGO,PR,6,2,HND
2022-01-03,SOL-0001122,COBRO,TC,3,1,HND
2022-01-03,SOL-0001123,ACUERDO_PAGO,TC,0,2,HND
2022-01-03,SOL-0001124,COBRO,TC,1,2,HND
2022-01-03,SOL-0001125,PAGO_PARCIAL,TC,0,2,HND
2022-01-03,SOL-0001126,REFINANCIAMIENTO,TC,3,1,HND
2022-01-03,SOL-0001127,COBRO,TC,2,1,HND
2022-01-03,SOL-0001128,ACUERDO_PAGO,PR,2,4,HND
2022-01-03,SOL-0001129,PAGO_PARCIAL,TC,0,1,HND
2022-01-03,SOL-0001130,ACUERDO_PAGO,PR,2,3,HND
2022-01-03,SOL-0001131,COBRO,PR,4,6,HND
2022-01-03,SOL-0001132,PAGO_PARCIAL,TC,1,1,HND
2022-01-03,SOL-0001133,ACUERDO_PAGO,TC,1,3,HND
2022-01-03,SOL-0001134,COBRO,TC,3,4,HND
2022-01-03,SOL-0001135,COBRO,PR,6,1,HND
2022-01-03,SOL-0001136,REFINANCIAMIENTO,TC,3,6,HND
2022-01-03,SOL-0001137,PAGO_PARCIAL,PR,0,3,HND
2022-01-03,SOL-0001138,PAGO_PARCIAL,TC,4,5,HND
2022-01-03,SOL-0001139,COBRO,TC,6,4,HND
2022-01-03,SOL-0001140,COBRO,TC,2,2,HND
2022-01-03,SOL-0001141,ACTUALIZACION_DATOS,PR,4,1,HND
2022-01-03,SOL-0001142,REFINANCIAMIENTO,TC,4,4,HND
2022-01-03,SOL-0001143,ACUERDO_PAGO,PR,6,1,HND
2022-01-03,SOL-0001144,ACUERDO_PAGO,TC,2,2,HND
2022-01-03,SOL-0001145,COBRO,TC,5,4,HND
2022-01-03,SOL-0001146,PAGO_PARCIAL,PR,1,2,HND
2022-01-03,SOL-0001147,COBRO,TC,0,5,HND
2022-01-03,SOL-0001148,RECLAMO,TC,4,2,HND
2022-01-03,SOL-0001149,ACTUALIZACION_DATOS,PR,1,1,HND
2022-01-03,SOL-0001150,ACUERDO_PAGO,TC,4,2,HND
2022-01-03,SOL-0001151,ACUERDO_PAGO,PR,3,2,HND
2022-01-03,SOL-0001152,COBRO,TC,1,3,HND
2022-01-03,SOL-0001153,REFINANCIAMIENTO,TC,2,3,HND
2022-01-03,SOL-0001154,COBRO,PR,2,4,HND
2022-01-03,SOL-0001155,COBRO,TC,0,1,HND
2022-01-03,SOL-0001156,COBRO,TC,4,1,HND
2022-01-03,SOL-0001157,PAGO_PARCIAL,TC,4,6,HND
2022-01-03,SOL-0001158,COBRO,TC,0,1,HND
2022-01-03,SOL-0001159,COBRO,TC,0,3,HND
2022-01-03,SOL-0001160,COBRO,PR,3,3,HND
2022-01-03,SOL-0001161,PAGO_PARCIAL,PR,2,5,HND
2022-01-03,SOL-0001162,COBRO,TC,2,1,HND
2022-01-03,SOL-0001163,REFINANCIAMIENTO,PR,2,4,HND
2022-01-03,SOL-0001164,COBRO,TC,3,1,HND
2022-01-03,SOL-0001165,COBRO,TC,1,6,HND
2022-01-03,SOL-0001166,COBRO,PR,3,4,HND
2022-01-03,SOL-0001167,RECLAMO,TC,2,2,HND
2022-01-03,SOL-0001168,PAGO_PARCIAL,PR,1,3,HND
2022-01-03,SOL-0001169,COBRO,PR,6,1,HND
2022-01-03,SOL-0001170,COBRO,PR,1,1,HND
2022-01-03,SOL-0001171,COBRO,TC,2,3,HND
2022-01-03,SOL-0001172,REFINANCIAMIENTO,TC,3,4,HND
2022-01-03,SOL-0001173,PAGO_PARCIAL,PR,5,4,HND
2022-01-03,SOL-0001174,PAGO_PARCIAL,PR,5,2,HND
2022-01-03,SOL-0001175,COBRO,TC,5,4,HND
2022-01-03,SOL-0001176,PAGO_PARCIAL,TC,1,4,HND
2022-01-03,SOL-0001177,ACUERDO_PAGO,TC,0,3,HND
2022-01-03,SOL-0001178,COBRO,PR,2,2,HND
2022-01-03,SOL-0001179,COBRO,TC,2,2,HND
2022-01-03,SOL-0001180,PAGO_PARCIAL,TC,6,4,HND
2022-01-03,SOL-0001181,COBRO,PR,6,3,HND
2022-01-03,SOL-0001182,PAGO_PARCIAL,TC,4,2,HND
2022-01-03,SOL-0001183,PAGO_PARCIAL,PR,1,3,HND
2022-01-03,SOL-0001184,COBRO,TC,0,2,HND
2022-01-03,SOL-0001185,ACUERDO_PAGO,PR,5,2,HND
2022-01-03,SOL-0001186,PAGO_PARCIAL,TC,6,4,HND
2022-01-03,SOL-0001187,ACTUALIZACION_DATOS,TC,1,2,HND
2022-01-03,SOL-0001188,PAGO_PARCIAL,TC,2,6,HND
2022-01-03,SOL-0001189,COBRO,TC,2,1,HND
2022-01-03,SOL-0001190,COBRO,PR,3,4,HND
2022-01-03,SOL-0001191,ACUERDO_PAGO,TC,5,2,HND
2022-01-03,SOL-0001192,COBRO,TC,6,3,HND
2022-01-03,SOL-0001193,COBRO,TC,3,3,HND
2022-01-03,SOL-0001194,COBRO,PR,5,2,HND
2022-01-03,SOL-0001195,PAGO_PARCIAL,PR,2,4,HND
2022-01-03,SOL-0001196,COBRO,TC,4,6,HND
2022-01-03,SOL-0001197,PAGO_PARCIAL,TC,2,5,HND
2022-01-03,SOL-0001198,ACUERDO_PAGO,PR,5,1,HND
2022-01-03,SOL-0001199,ACUERDO_PAGO,TC,5,2,HND
2022-01-03,SOL-0001200,ACTUALIZACION_DATOS,TC,1,3,HND
2022-01-03,SOL-0001201,COBRO,TC,0,3,HND
2022-01-03,SOL-0001202,COBRO,TC,3,2,HND
2022-01-03,SOL-0001203,COBRO,TC,3,3,HND
2022-01-03,SOL-0001204,ACUERDO_PAGO,PR,0,4,HND
2022-01-03,SOL-0001205,ACUERDO_PAGO,PR,2,3,HND
2022-01-03,SOL-0001206,PAGO_PARCIAL,PR,2,1,HND
2022-01-03,SOL-0001207,REFINANCIAMIENTO,TC,5,5,HND
2022-01-03,SOL-0001208,REFINANCIAMIENTO,TC,2,4,HND
2022-01-03,SOL-0001209,ACTUALIZACION_DATOS,PR,1,2,HND
2022-01-03,SOL-0001210,RECLAMO,TC,3,3,HND
2022-01-03,SOL-0001211,COBRO,PR,5,2,HND
2022-01-03,SOL-0001212,COBRO,PR,4,5,HND
2022-01-03,SOL-0001213,ACTUALIZACION_DATOS,TC,3,5,HND
2022-01-03,SOL-0001214,PAGO_PARCIAL,PR,2,1,HND
2022-01-03,SOL-0001215,CANCELACION,PR,2,3,HND
2022-01-03,SOL-0001216,COBRO,TC,4,2,HND
2022-01-03,SOL-0001217,ACUERDO_PAGO,TC,3,3,HND
2022-01-03,SOL-0001218,PAGO_PARCIAL,TC,0,5,HND
2022-01-03,SOL-0001219,REFINANCIAMIENTO,TC,5,1,HND
2022-01-03,SOL-0001220,ACUERDO_PAGO,TC,1,1,HND
2022-01-03,SOL-0001221,REFINANCIAMIENTO,PR,3,1,HND
2022-01-03,SOL-0001222,REFINANCIAMIENTO,TC,3,3,HND
2022-01-03,SOL-0001223,REFINANCIAMIENTO,TC,4,1,HND
2022-01-03,SOL-0001224,PAGO_PARCIAL,TC,1,3,HND
2022-01-03,SOL-0001225,PAGO_PARCIAL,PR,1,6,HND
2022-01-03,SOL-0001226,ACUERDO_PAGO,TC,3,3,HND
2022-01-03,SOL-0001227,CANCELACION,TC,3,2,HND
2022-01-03,SOL-0001228,COBRO,TC,4,3,HND
2022-01-03,SOL-0001229,ACUERDO_PAGO,TC,3,3,HND
2022-01-03,SOL-0001230,CANCELACION,PR,4,3,HND
2022-01-03,SOL-0001231,PAGO_PARCIAL,TC,1,2,HND
2022-01-03,SOL-0001232,ACUERDO_PAGO,PR,0,2,HND
2022-01-03,SOL-0001233,ACTUALIZACION_DATOS,TC,0,3,HND
2022-01-03,SOL-0001234,COBRO,TC,5,4,HND
2022-01-03,SOL-0001235,ACUERDO_PAGO,PR,2,4,HND
